Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Road_surface_type,Road_surface_conditions,Weather_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Owner_of_vehicle,Service_year_of_vehicle,Fitness_of_casuality,Pedestrian_movement,Casualty_severity_label
21:25:00,Thursday,18-30,Male,2-5yr,Automobile,Other,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Vehicle with vehicle collision,4,2,Going straight,Female,Under 18,3,Changing lane to the left,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
16:55:00,Friday,31-50,Male,Above 10yr,Automobile,Other,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Collision with roadside objects,4,2,Moving Backward,Female,Under 18,3,Turnover,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
16:55:00,Friday,31-50,Male,2-5yr,Pick up upto 10Q,Office areas,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Vehicle with vehicle collision,4,2,Going straight,Male,Under 18,3,Driving to the left,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
16:55:00,Friday,31-50,Male,1-2yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,4,1,Other,Male,Under 18,3,Driving carelessly,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
16:55:00,Friday,18-30,Male,2-5yr,Stationwagen,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,4,1,Other,Male,Under 18,3,Driving to the left,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
16:55:00,Friday,18-30,Male,1-2yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,4,1,Going straight,Female,Under 18,3,Driving carelessly,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
20:15:00,Monday,18-30,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Collision with roadside objects,4,1,Going straight,Male,18-30,3,No priority to pedestrian,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
20:15:00,Monday,18-30,Male,5-10yr,Automobile,Residential areas,Asphalt roads,Wet or damp,Cloudy,Darkness - lights lit,Vehicle with vehicle collision,3,2,Going straight,Female,18-30,3,Driving carelessly,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
20:15:00,Monday,18-30,Male,2-5yr,Long lorry,Office areas,Earth roads,Wet or damp,Cloudy,Darkness - lights lit,Vehicle with vehicle collision,3,2,Going straight,Male,Under 18,3,Changing lane to the right,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
15:30:00,Tuesday,31-50,Male,Below 1yr,Public (13-45 seats),Office areas,Asphalt roads,Wet or damp,Cloudy,Darkness - lights lit,Vehicle with vehicle collision,3,2,Other,Male,31-50,3,Moving Backward,Slight Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
20:17:00,Thursday,31-50,Male,5-10yr,Public (13-45 seats),Office areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Vehicle with vehicle collision,2,2,Going straight,Male,18-30,3,Driving carelessly,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
20:17:00,Thursday,31-50,Male,Above 10yr,Lorry (11-40Q),Recreational areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Vehicle with vehicle collision,2,2,Getting off,Male,18-30,2,Changing lane to the right,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Serious Injury
13:07:00,Sunday,31-50,Male,1-2yr,Lorry (11-40Q),Other,Asphalt roads,Snow,Snow,Daylight,Vehicle with vehicle collision,3,2,Going straight,Male,18-30,2,Driving carelessly,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Serious Injury
13:07:00,Sunday,31-50,Male,5-10yr,Pick up upto 10Q,Other,Earth roads,Snow,Snow,Daylight,Vehicle with vehicle collision,3,2,Going straight,No Casualty,No Casualty,No Casualty,Driving carelessly,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
13:07:00,Sunday,31-50,Male,1-2yr,Automobile,Other,Asphalt roads,Snow,Snow,Daylight,Vehicle with vehicle collision,3,2,Going straight,Male,Under 18,2,Driving carelessly,Slight Injury,Owner,5-10yrs,No Casualty,Not a Pedestrian,Serious Injury
16:30:00,Tuesday,31-50,Male,Above 10yr,Automobile,Other,Asphalt roads,Snow,Snow,Daylight,Vehicle with vehicle collision,3,2,Going straight,Male,18-30,3,Changing lane to the right,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
16:30:00,Tuesday,31-50,Male,Below 1yr,Automobile,Other,Asphalt roads,Snow,Snow,Daylight,Vehicle with vehicle collision,3,2,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
15:18:00,Monday,31-50,Male,2-5yr,Long lorry,Office areas,Asphalt roads,Snow,Snow,Daylight,Vehicle with vehicle collision,3,2,Going straight,No Casualty,No Casualty,No Casualty,Driving carelessly,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
17:40:00,Wednesday,18-30,Male,5-10yr,Long lorry,Office areas,Asphalt roads,Snow,Snow,Daylight,Collision with roadside objects,3,2,Moving Backward,Female,18-30,3,Overtaking,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,Slight Injury
18:32:00,Tuesday,18-30,Male,5-10yr,Automobile,Office areas,Asphalt roads,Snow,Snow,Daylight,Collision with roadside objects,3,2,Going straight,Male,Over 51,3,Changing lane to the right,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
18:32:00,Tuesday,18-30,Male,1-2yr,Stationwagen,Residential areas,Asphalt roads,Wet or damp,Snow,Daylight,Collision with roadside objects,2,1,Other,No Casualty,No Casualty,No Casualty,No distancing,Slight Injury,Owner,Above 10yr,No Casualty,Not a Pedestrian,No Casualty
18:32:00,Tuesday,31-50,Male,5-10yr,Automobile,Recreational areas,Asphalt roads,Wet or damp,Snow,Daylight,Collision with pedestrians,2,1,Going straight,Male,31-50,3,Other,Slight Injury,Governmental,Below 1yr,Normal,Not a Pedestrian,Slight Injury
18:32:00,Tuesday,Over 51,Male,5-10yr,Other,Church areas,Other,Dry,Snow,Darkness - no lighting,Vehicle with vehicle collision,2,2,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
18:35:00,Friday,31-50,Male,2-5yr,Special vehicle,Office areas,Asphalt roads,Dry,Snow,Darkness - no lighting,Vehicle with vehicle collision,2,2,Going straight,Female,18-30,3,Changing lane to the right,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
18:35:00,Friday,31-50,Male,1-2yr,Lorry (41-100Q),Other,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Collision with pedestrians,2,6,Going straight,No Casualty,No Casualty,No Casualty,Overtaking,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
12:10:00,Friday,18-30,Male,5-10yr,Pick up upto 10Q,Residential areas,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,6,Going straight,Male,18-30,3,Other,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
12:10:00,Friday,18-30,Male,2-5yr,Lorry (11-40Q),School areas,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,6,Moving Backward,Male,18-30,3,Driving to the left,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
15:08:00,Monday,18-30,Male,5-10yr,Lorry (41-100Q),Office areas,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,6,Going straight,Male,31-50,3,Overtaking,Slight Injury,Owner,1-2yr,Normal,Not a Pedestrian,Slight Injury
15:08:00,Monday,18-30,Male,Above 10yr,Motorcycle,Other,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,6,Going straight,Male,Under 18,3,No priority to vehicle,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,Slight Injury
15:08:00,Monday,Over 51,Male,Above 10yr,Automobile,Other,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,6,Going straight,No Casualty,No Casualty,No Casualty,Moving Backward,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
15:08:00,Monday,Over 51,Male,5-10yr,Automobile,Office areas,Earth roads,Snow,Normal,Daylight,Vehicle with vehicle collision,4,2,Going straight,Female,18-30,2,Other,Slight Injury,Organization,2-5yrs,No Casualty,Not a Pedestrian,Serious Injury
08:54:00,Thursday,18-30,Male,2-5yr,Automobile,Office areas,Asphalt roads,Snow,Normal,Daylight,Collision with roadside objects,4,2,Going straight,No Casualty,No Casualty,No Casualty,No priority to vehicle,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
